uf,idhm,classe
Distrito Federal,0.82,Alto Desenvolvimento Humano
São Paulo,0.74,Médio Desenvolvimento Humano
Santa Catarina,0.73,Médio Desenvolvimento Humano
Rio de Janeiro,0.71,Médio Desenvolvimento Humano
Rio Grande do Sul,0.71,Médio Desenvolvimento Humano
Paraná,0.7,Médio Desenvolvimento Humano
Espírito Santo,0.69,Médio Desenvolvimento Humano
Goiás,0.69,Médio Desenvolvimento Humano
Mato Grosso,0.68,Médio Desenvolvimento Humano
Mato Grosso do Sul,0.68,Médio Desenvolvimento Humano
Minas Gerais,0.67,Médio Desenvolvimento Humano
Rondônia,0.64,Médio Desenvolvimento Humano
Tocantins,0.64,Médio Desenvolvimento Humano
Amapá,0.64,Médio Desenvolvimento Humano
Ceará,0.62,Médio Desenvolvimento Humano
Rio Grande do Norte,0.61,Médio Desenvolvimento Humano
Roraima,0.61,Médio Desenvolvimento Humano
Pernambuco,0.6,Médio Desenvolvimento Humano
Sergipe,0.6,Médio Desenvolvimento Humano
Paraíba,0.59,Médio Desenvolvimento Humano
Bahia,0.59,Médio Desenvolvimento Humano
Acre,0.59,Médio Desenvolvimento Humano
Pará,0.58,Médio Desenvolvimento Humano
Maranhão,0.58,Médio Desenvolvimento Humano
Piauí,0.57,Médio Desenvolvimento Humano
Amazonas,0.57,Médio Desenvolvimento Humano
Alagoas,0.56,Médio Desenvolvimento Humano
